#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10944928|2018-09-06T15:49:14|-18.4952|179.3555|617.87|at,pt,us|NEIC PDE|us|pt18249001,at00pen5a4,us2000h9e2|mww|7.9|us|FIJI ISLANDS
10944714|2018-09-06T05:13:38|-17.9948|-178.5178|528.61|us|NEIC PDE|us|us2000h94x|Mww|5.5|us|FIJI ISLANDS REGION
10942801|2018-09-01T15:43:00|27.9557|139.913|435.0|at,us|NEIC PDE|us|at00pedvnp,us2000h6i8|Mww|5.6|us|BONIN ISLANDS, JAPAN REGION
10941184|2018-08-28T13:09:11|-18.0299|-177.9387|600.62|us|NEIC PDE|us|us1000gimx|Mww|5.7|us|FIJI ISLANDS REGION
10939656|2018-08-24T09:04:06|-11.0424|-70.8169|609.48|us|NEIC PDE|us|us1000ggj4|Mww|7.1|us|PERU-BRAZIL BORDER REGION
10939184|2018-08-23T03:41:16|-18.1628|-178.2124|543.87|us|NEIC PDE|us|us1000gfvm|mb|5.5|us|FIJI ISLANDS REGION
10938497|2018-08-21T06:28:57|-17.8441|-178.2063|555.43|us|NEIC PDE|us|us1000gef5|mb|5.0|us|FIJI ISLANDS REGION
10938022|2018-08-20T11:40:05|-18.2472|-178.1123|549.38|us|NEIC PDE|us|us1000gdv4|mb|5.0|us|FIJI ISLANDS REGION
10937989|2018-08-20T08:38:00|-18.2465|-178.1738|527.85|us|NEIC PDE|us|us1000gdt6|Mww|5.5|us|FIJI ISLANDS REGION
10941669|2018-08-19T15:21:55|-18.7299|-177.6766|577.62|us|NEIC PDE|us|us1000givu|mb|5.0|us|FIJI ISLANDS REGION
10937681|2018-08-19T11:00:30|-18.0254|-177.9607|543.67|us|NEIC PDE|us|us1000gd7k|mb|5.2|us|FIJI ISLANDS REGION
10937613|2018-08-19T06:36:54|-18.1712|-178.2715|517.93|us|NEIC PDE|us|us1000gd3h|mb|5.2|us|FIJI ISLANDS REGION
10937587|2018-08-19T04:28:58|-16.9783|-178.0332|415.6|us,pt,at|NEIC PDE|us|pt18231002,at00pdoxsb,us1000gcwt|mww|6.8|us|FIJI ISLANDS REGION
10941438|2018-08-19T03:07:27|-18.2067|-178.6103|554.98|us|NEIC PDE|us|us1000git3|mb|5.0|us|FIJI ISLANDS REGION
10943123|2018-08-19T02:25:49|-18.057|-177.8832|586.76|us|NEIC PDE|us|us1000gils|mb|5.0|us|FIJI ISLANDS REGION
10937565|2018-08-19T02:18:52|-18.2748|-178.3539|618.29|us|NEIC PDE|us|us1000gcsb|mb|5.7|us|FIJI ISLANDS REGION
10937548|2018-08-19T00:58:31|-17.8384|-178.0796|511.63|us|NEIC PDE|us|us1000gclw|mb|5.3|us|FIJI ISLANDS REGION
10945582|2018-08-19T00:56:25|-17.925|-177.9454|558.21|us|NEIC PDE|us|us1000giv9|mb|5.1|us|FIJI ISLANDS REGION
10937545|2018-08-19T00:55:44|-18.2293|-178.1002|537.63|us|NEIC PDE|us|us1000gclj|mb|5.6|us|FIJI ISLANDS REGION
10937547|2018-08-19T00:52:32|-18.1161|-178.2859|511.33|us|NEIC PDE|us|us1000gck9|mb|5.3|us|FIJI ISLANDS REGION
10945221|2018-08-19T00:39:23|-17.6865|-177.8383|643.82|us|NEIC PDE|us|us1000gitx|mb|5.3|us|FIJI ISLANDS REGION
10941956|2018-08-19T00:39:07|-17.9146|-177.9872|575.52|us|NEIC PDE|us|us1000gil8|mb|5.7|us|FIJI ISLANDS REGION
10945214|2018-08-19T00:38:46|-18.2632|-178.0165|584.15|us|NEIC PDE|us|us1000gitu|mb|5.2|us|FIJI ISLANDS REGION
10945210|2018-08-19T00:38:17|-18.1253|-177.7205|580.43|us|NEIC PDE|us|us1000gila|mb|5.2|us|FIJI ISLANDS REGION
10941778|2018-08-19T00:32:59|-17.9445|-178.2003|520.06|us|NEIC PDE|us|us1000gin0|mb|5.7|us|FIJI ISLANDS REGION
10941766|2018-08-19T00:30:41|-18.0894|-178.1437|580.21|us|NEIC PDE|us|us1000gitw|mb|5.6|us|FIJI ISLANDS REGION
10937598|2018-08-19T00:23:06|-18.4447|-177.6404|575.76|us|NEIC PDE|us|us1000gcnc|mb|6.3|us|FIJI ISLANDS REGION
10937540|2018-08-19T00:19:40|-18.1125|-178.1536|600.0|at,pt,us|NEIC PDE|us|pt18231000,at00pdom8q,us1000gcii|mww|8.2|us|FIJI ISLANDS REGION
10936816|2018-08-17T15:35:01|-7.4263|119.8341|529.0|us|NEIC PDE|us|us1000gbi4|Mww|6.5|us|FLORES SEA
10923774|2018-07-28T17:07:23|-7.1221|122.7474|577.48|us|NEIC PDE|us|us2000gg76|Mww|6.0|us|FLORES SEA
10915622|2018-07-20T10:24:57|-28.0684|-63.2543|587.8|us|NEIC PDE|us|us2000g9l7|Mww|5.6|us|SANTIAGO DEL ESTERO PROV., ARG.
10907822|2018-07-12T06:51:21|-23.337|-179.9115|541.3|us|NEIC PDE|us|us2000g2se|Mww|5.5|us|SOUTH OF FIJI ISLANDS
10899268|2018-07-02T17:15:12|-21.1904|-178.4258|489.7|us|NEIC PDE|us|us2000fu3q|mb|5.0|us|FIJI ISLANDS REGION
10897964|2018-07-01T06:28:54|-20.4099|-178.4601|598.54|us|NEIC PDE|us|us2000fstd|mb|5.0|us|FIJI ISLANDS REGION
10890178|2018-06-22T20:57:43|-4.932|108.3546|646.7|us|NEIC PDE|us|us1000ez1q|Mww|5.3|us|JAVA SEA
10884985|2018-06-17T13:41:33|-22.1458|-179.4329|568.24|us|NEIC PDE|us|us1000etvt|Mww|5.4|us|SOUTH OF FIJI ISLANDS
10884981|2018-06-17T13:39:10|-22.2198|-179.4041|568.57|us|NEIC PDE|us|us1000etvk|Mww|5.2|us|SOUTH OF FIJI ISLANDS
10844586|2018-06-04T18:24:37|-7.0601|123.2073|631.32|us|NEIC PDE|us|us1000eiiy|Mww|5.3|us|BANDA SEA
10842653|2018-06-01T10:21:38|7.3022|123.7386|570.48|us|NEIC PDE|us|us1000egdu|mb|5.2|us|MINDANAO, PHILIPPINES
10807746|2018-05-24T14:48:51|-21.2633|-178.1876|467.78|us|NEIC PDE|us|us1000eb96|Mww|5.4|us|FIJI ISLANDS REGION
10802039|2018-05-10T22:15:40|-22.2874|-179.5306|587.38|us|NEIC PDE|us|us1000e2gd|Mww|5.3|us|SOUTH OF FIJI ISLANDS
10801956|2018-05-10T18:02:28|6.8698|123.762|535.0|us|NEIC PDE|us|us1000e26e|Mww|5.9|us|MINDANAO, PHILIPPINES
10767119|2018-05-01T19:47:53|-18.0199|-177.9375|585.0|us|NEIC PDE|us|us1000dvii|Mww|5.9|us|FIJI ISLANDS REGION
10764702|2018-04-24T21:57:00|-23.9432|179.8003|531.08|us|NEIC PDE|us|us1000drm0|Mww|5.5|us|SOUTH OF FIJI ISLANDS
10764045|2018-04-23T07:37:10|-6.3161|123.6231|638.26|us|NEIC PDE|us|us1000dqj3|Mww|5.4|us|BANDA SEA
10724451|2018-04-05T09:07:59|-18.3312|-177.8933|507.01|us|NEIC PDE|us|us2000duvm|Mww|5.8|us|FIJI ISLANDS REGION
