#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
10923774|2018-07-28T17:07:23|-7.1221|122.7474|577.48|us|NEIC PDE|us|us2000gg76|Mww|6.0|us|FLORES SEA|-7.12|122.55|584.1|6.0|Mw|1.36e25
10915622|2018-07-20T10:24:57|-28.0684|-63.2543|587.8|us|NEIC PDE|us|us2000g9l7|Mww|5.6|us|SANTIAGO DEL ESTERO PROV., ARG.|-27.96|-62.99|601.8|5.6|Mw|3.16e24
10907822|2018-07-12T06:51:21|-23.337|-179.9115|541.3|us|NEIC PDE|us|us2000g2se|Mww|5.5|us|SOUTH OF FIJI ISLANDS|-23.55|-179.27|553.1|5.6|Mw|3.27e24
10884985|2018-06-17T13:41:33|-22.1458|-179.4329|568.24|us|NEIC PDE|us|us1000etvt|Mww|5.4|us|SOUTH OF FIJI ISLANDS|-22.30|-179.38|586.6|5.5|Mw|2.04e24
10801956|2018-05-10T18:02:28|6.8698|123.762|535.0|us|NEIC PDE|us|us1000e26e|Mww|5.9|us|MINDANAO, PHILIPPINES|6.95|123.70|543.1|5.9|Mw|8.32e24
10767119|2018-05-01T19:47:53|-18.0199|-177.9375|585.0|us|NEIC PDE|us|us1000dvii|Mww|5.9|us|FIJI ISLANDS REGION|-18.00|-178.03|598.1|5.9|Mw|8.17e24
10764702|2018-04-24T21:57:00|-23.9432|179.8003|531.08|us|NEIC PDE|us|us1000drm0|Mww|5.5|us|SOUTH OF FIJI ISLANDS|-24.01|179.81|542.3|5.6|Mw|3.01e24
10764045|2018-04-23T07:37:10|-6.3161|123.6231|638.26|us|NEIC PDE|us|us1000dqj3|Mww|5.4|us|BANDA SEA|-6.27|123.62|644.0|5.5|Mw|2.01e24
10724451|2018-04-05T09:07:59|-18.3312|-177.8933|507.01|us|NEIC PDE|us|us2000duvm|Mww|5.8|us|FIJI ISLANDS REGION|-18.22|-177.97|522.5|5.9|Mw|8.44e24
10723241|2018-04-02T13:40:34|-20.6588|-63.0058|559.0|us|NEIC PDE|us|us1000dce2|Mww|6.8|us|SOUTHERN BOLIVIA|-20.63|-62.81|569.1|6.8|Mw|2.2e26
