masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,gp,gp_M0r,gp_fcegf,gp_fcmaster,gp_fc_std
10953779,2018-09-30T10:52:24,6.7,-18.3604,-178.0633,550.0,10486346,2017-11-14T10:50:05,5.5,1.27e+19,1.2,-18.1454,-178.0058,596.92,4,17.9972108527519,0.097169360348533,0.036055619289207,0.003000271383098
10641454,2018-02-09T11:43:56,6.0,-17.8709,-178.6605,556.91,10955349,2018-10-04T04:16:21,5.5,1.23e+18,0.5,-17.8372,-178.5215,590.03,55,2.59413895201549,0.514271429716846,0.31976391215969896,0.029171927204997
10641454,2018-02-09T11:43:56,6.0,-17.8709,-178.6605,556.91,10944714,2018-09-06T05:13:38,5.5,1.23e+18,0.5,-17.9849,-178.5242,528.03,63,3.73887022916451,0.396497251327284,0.25940085504518,0.009254910951366999
10641454,2018-02-09T11:43:56,6.0,-17.8709,-178.6605,556.91,2368935,2006-12-22T13:51:55,5.5,1.23e+18,0.5,-17.656,-178.576,570.1,27,2.55968897280641,0.459125187130267,0.317422982236227,0.016783520946588002
10394345,2017-08-19T02:00:52,6.4,-17.9609,-178.8406,544.0,10974966,2018-11-27T02:45:32,5.7,6.7e+18,0.7,-17.8924,-178.571,574.21,44,4.6447172086978705,0.397300939000307,0.20797313867569198,0.0058535904318080005
10394345,2017-08-19T02:00:52,6.4,-17.9609,-178.8406,544.0,10944714,2018-09-06T05:13:38,5.5,6.7e+18,0.9,-17.9849,-178.5242,528.03,74,7.773272352267719,0.08109172168980901,0.040075521806232,0.001890694055989
10087356,2017-04-18T17:11:47,6.0,-18.0877,-178.36900000000003,628.0,10937989,2018-08-20T08:38:00,5.5,1.77e+18,0.5,-18.1766,-178.1823,535.37,11,3.85744363596008,0.276636939817393,0.129822720223008,0.003098176560798
10087356,2017-04-18T17:11:47,6.0,-18.0877,-178.36900000000003,628.0,8741773,2012-06-21T22:34:37,5.5,1.77e+18,0.5,-17.963,-178.18599999999998,542.8,9,2.93598318798006,0.351085317889267,0.14095759247226902,0.003153013854453
9953968,2017-01-10T06:13:47,7.3,4.4782,122.6171,627.17,1542753,2003-07-01T05:52:24,6.0,1e+20,1.3,4.529,122.51100000000001,635.4,30,26.727799878659603,0.660291807658939,0.27911499521783395,0.0058572258284019995
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2872982,2009-08-15T23:30:19,5.6,2.99e+19,1.3,-19.826,-178.239,608.4,6,184.961432887477,0.21546053101674198,0.028534536275733997,0.002110783242352
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2619813,2007-08-23T11:34:25,5.7,2.99e+19,1.2,-19.925,-177.718,553.8,45,224.08540818234903,0.333808088473549,0.031868259317537,0.001769759553103
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2451103,2007-04-09T02:24:30,5.9,2.99e+19,1.0,-20.073,-178.082,593.0,34,118.768878240761,0.331230627725933,0.035369080202495004,0.001886107506311
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2355119,2006-07-18T16:02:15,5.7,2.99e+19,1.2,-20.084,-178.43400000000003,587.2,20,61.8388603727048,0.200850232380244,0.043605696297524005,0.00206247456467
9376197,2016-09-24T21:28:41,6.9,-19.7819,-178.2443,596.4,2292909,2006-06-27T02:59:16,6.3,2.99e+19,0.600000000000001,-19.865,-178.287,569.9,49,10.1324982752988,0.124517300211279,0.041822308174488995,0.001710720330802
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,10683512,2018-03-09T16:23:23,5.7,5.87e+18,0.7,-21.0006,-178.606,540.34,37,31.0427948686954,0.210272244998696,0.046500634980944006,0.0019361815001909999
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,8350539,2014-03-23T04:31:01,5.9,5.87e+18,0.5,-20.6741,-178.8113,606.87,119,20.170090871988698,0.195503355391697,0.054452792519622,0.0021957842468299997
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,4370315,2013-12-17T17:02:01,5.7,5.87e+18,0.7,-20.7074,-178.6609,601.97,19,20.4307312491779,0.17798925371868105,0.061664060060425,0.0024494957894020002
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,8847907,2012-09-20T21:03:42,5.7,5.87e+18,0.7,-20.756999999999998,-178.513,570.4,22,26.6699202084435,0.212272302439091,0.058292942633167005,0.0023215488762369997
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,8774227,2012-07-18T08:09:46,5.9,5.87e+18,0.5,-20.872,-178.50799999999998,536.9,59,25.6591644216559,0.205520958510224,0.054233991961086005,0.0019305088717500001
5183873,2016-05-27T04:08:43,6.4,-20.8101,-178.6481,567.48,3286124,2011-05-04T16:13:27,5.5,5.87e+18,0.9,-20.396,-178.548,583.6,6,58.610495884496096,0.1824382954469,0.027885690031098,0.0021173781387520004
5149896,2015-06-23T12:18:30,6.5,27.7375,139.7254,460.0,10942801,2018-09-01T15:43:00,5.6,7.45e+18,0.9,27.9555,139.9127,435.0,170,7.617860788862281,0.111395485138348,0.05037375429721201,0.002758967295981
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,10923774,2018-07-28T17:07:23,6.0,3.6e+19,1.0,-7.1039,122.7263,578.16,73,5.98113112597926,0.5810519515103071,0.325424372414102,0.009499956492304002
5007016,2015-02-27T13:45:05,7.0,-7.2968,122.5348,552.06,5191265,2016-08-23T19:39:44,6.0,3.6e+19,1.0,-7.2872,122.4345,533.0,129,6.36176132842139,0.35962829269954705,0.196464815913114,0.004584558274911999
4725571,2014-07-21T14:54:41,6.9,-19.8015,-178.4001,615.42,1593746,2003-08-14T18:23:06,5.9,2.95e+19,1.0,-19.899,-177.984,563.3,11,15.207500202861599,2.2210901840582298,1.3552777024541798,0.057624471631076
4225091,2013-09-04T00:18:24,6.5,29.9377,138.8325,402.0,2237209,2006-04-16T11:48:57,5.7,7.3e+18,0.8,30.241999999999997,138.565,431.6,38,17.5571930006964,0.8105498348632572,0.34651564612728997,0.009253152002719
4225091,2013-09-04T00:18:24,6.5,29.9377,138.8325,402.0,2031557,2005-04-19T01:46:56,5.9,7.3e+18,0.6,29.642,138.891,425.8,61,6.852872292675049,0.11526315216825901,0.07162633245526201,0.0026580495907670004
3335575,2012-03-05T07:46:09,6.1,-28.246,-63.294,553.9,10915622,2018-07-20T10:24:57,5.6,1.89e+18,0.5,-28.026999999999997,-63.2284,579.0,17,10.1824553339033,0.3847537413039461,0.17483433960909303,0.005591238273568001
3322252,2011-09-15T19:31:03,7.3,-21.611,-179.528,644.8,2704829,2008-01-15T17:52:16,6.5,1.19e+20,0.8,-21.984,-179.535,597.6,122,3.7041569484970296,0.162989859495142,0.11093898681336999,0.005507733432444
3321489,2011-09-02T13:47:10,6.7,-28.398000000000003,-63.028999999999996,578.9,10915622,2018-07-20T10:24:57,5.6,1.37e+19,1.1,-28.026999999999997,-63.2284,579.0,19,66.12908028379441,0.186978619043281,0.043174820692230005,0.001744038010962
3321489,2011-09-02T13:47:10,6.7,-28.398000000000003,-63.028999999999996,578.9,4212015,2013-02-22T12:01:58,6.1,1.37e+19,0.600000000000001,-27.932,-63.097,575.2,207,12.1831393017835,0.226691344949907,0.10506041564626599,0.0057945370415909995
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10974966,2018-11-27T02:45:32,5.7,4.94e+18,0.7,-17.8924,-178.571,574.21,14,21.530213552141902,1.12105728229341,0.402043749930116,0.031790429714034
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10955349,2018-10-04T04:16:21,5.5,4.94e+18,0.9,-17.8372,-178.5215,590.03,24,7.14371507654137,2.7997253251733194,0.9502907858649191,0.026475217132900002
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,10003813,2017-02-24T23:46:45,5.9,4.94e+18,0.5,-17.9547,-178.4384,581.62,75,4.309119162270931,1.4834186006613002,0.8703985945950921,0.060230721293380994
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,5109197,2015-04-02T04:10:10,5.9,4.94e+18,0.5,-17.8607,-178.5831,560.0,86,7.872762448461669,0.14533098884891,0.07808855790838201,0.005706214471236
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,5075423,2015-03-17T20:16:18,5.5,4.94e+18,0.9,-17.8236,-178.5653,555.93,10,4.67776160273084,0.7872982938136021,0.43638362430460403,0.03489741306184299
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,3282428,2011-04-05T04:10:07,5.8,4.94e+18,0.600000000000001,-17.662,-178.595,552.4,30,1.5410835486836698,1.0580064705525,0.696940013391954,0.045314622587990995
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2865073,2009-01-27T06:29:12,5.9,4.94e+18,0.5,-17.837,-178.67700000000002,601.0,23,2.8382334699058505,3.7790070724480294,1.44235197168075,0.12170655153179501
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2865034,2009-01-26T11:54:40,5.8,4.94e+18,0.600000000000001,-17.796,-178.59099999999998,579.5,36,2.3744734346349103,1.2156796339550702,0.743111456616928,0.025948309132187
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2862473,2008-12-17T10:55:59,5.8,4.94e+18,0.600000000000001,-17.744,-178.37099999999998,530.3,29,4.392199191570731,0.691548457012047,0.35941333829276295,0.010577629849812
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2372840,2006-07-23T20:50:52,5.8,4.94e+18,0.600000000000001,-17.93,-178.608,587.0,64,5.00054987056585,0.352968486203306,0.210746119680596,0.006198883304604
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,2211042,2006-06-09T10:40:41,5.5,4.94e+18,0.9,-17.98,-178.503,575.9,27,5.92164313070315,0.348557903420701,0.18112920721211198,0.0071285046696270005
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1828292,2004-06-13T19:28:11,5.7,4.94e+18,0.7,-17.891,-178.57,580.1,26,8.570790808178801,0.310942260877707,0.164759204060054,0.004259330227744
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1327033,2002-06-16T06:55:13,5.9,4.94e+18,0.5,-17.866,-178.696,569.0,34,7.897531080839701,0.7720496024652791,0.38216141550862,0.010771826658153
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1197588,2001-11-13T16:02:38,5.5,4.94e+18,0.9,-17.430999999999997,-178.705,543.4,4,5.599442151429019,1.2443043780868401,0.712873666313107,0.035668581114856004
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1179413,2001-05-23T15:35:22,5.6,4.94e+18,0.800000000000001,-17.708,-178.703,567.2,11,10.2402988800012,0.38961196933082,0.215906351363061,0.012517018562608
3282255,2011-04-03T14:07:08,6.4,-17.642,-178.585,551.7,1150182,2000-08-27T04:22:20,5.5,4.94e+18,0.9,-17.517,-179.06400000000002,548.9,5,8.0188019267758,1.8175602054023798,0.8487812896715191,0.054505422731899004
3277775,2011-02-10T14:39:28,6.5,4.195,122.97399999999999,523.2,4598941,2014-04-17T04:38:18,5.8,7.71e+18,0.7,4.5162,122.9351,572.92,38,2.1121446118413503,3.71995661576283,1.5501491927898299,0.053719896840452
3275804,2011-01-12T21:32:54,6.4,26.973000000000003,139.882,512.0,5198598,2016-11-23T09:59:56,5.8,7.39e+18,0.600000000000001,27.1773,140.025,481.0,132,24.579775511702298,0.055641284564062005,0.025000000000017997,2.4342727392561395e-13
3275804,2011-01-12T21:32:54,6.4,26.973000000000003,139.882,512.0,3323209,2011-10-04T01:37:28,5.6,7.39e+18,0.800000000000001,26.768,140.429,455.9,62,3.4285383421241598,0.25287495135954996,0.155176265999384,0.011782741239813
3202775,2010-11-30T03:24:41,6.8,28.349,139.187,470.0,4723542,2014-06-30T19:55:33,6.2,1.9e+19,0.6,28.3404,138.8441,511.0,193,4.853243613774991,0.645077780788941,0.37642822499234707,0.011989104151037999
2878496,2010-08-16T19:35:48,6.2,-20.799,-178.826,603.2,8847907,2012-09-20T21:03:42,5.7,2.17e+18,0.5,-20.756999999999998,-178.513,570.4,21,2.9607146378569595,0.111691394218254,0.067439026154715,0.001813051346091
2878496,2010-08-16T19:35:48,6.2,-20.799,-178.826,603.2,2019856,2005-12-01T03:08:39,5.5,2.17e+18,0.7,-21.021,-179.105,644.7,5,34.1805053203903,0.105230637982836,0.025154894278791,0.0006343563960909999
2878496,2010-08-16T19:35:48,6.2,-20.799,-178.826,603.2,1235408,2001-10-22T06:46:46,5.6,2.17e+18,0.600000000000001,-20.908,-179.125,622.5,10,5.2821664103771395,0.11512601369775,0.0691710158948,0.004011602059316
2876682,2010-07-23T22:51:13,7.6,6.497000000000001,123.48,578.0,2876716,2010-07-24T05:35:01,6.6,3.64e+20,1.0,6.218,123.51899999999999,553.0,304,42.186992553979294,0.36894416695920795,0.07148765229462,0.00275316694202
2876682,2010-07-23T22:51:13,7.6,6.497000000000001,123.48,578.0,1584889,2003-05-26T23:13:31,6.9,3.64e+20,0.699999999999999,6.761,123.70700000000001,565.8,55,44.369475067845705,0.256635093436124,0.062986748850233,0.002013587314212
2844629,2010-02-18T01:13:18,6.9,42.586999999999996,130.703,577.7,903611,2000-02-13T02:57:07,6.0,2.61e+19,0.9,42.853,131.572,513.6,19,8.87988788151685,0.054025400950181,0.025000000000189,1.38473198661447e-12
2841295,2009-11-22T22:47:27,6.2,-31.569000000000003,179.467,435.7,2503701,2007-04-17T03:16:05,5.6,2.18e+18,0.600000000000001,-31.845,179.761,423.5,21,5.59604591666562,0.135031947660887,0.064358311853343,0.005063848295706
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,10974966,2018-11-27T02:45:32,5.7,3.82e+18,0.7,-17.8924,-178.571,574.21,30,8.15567680450715,0.53466759445222,0.318154367520935,0.017644768275082
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,10952079,2018-09-26T00:37:33,5.8,3.82e+18,0.600000000000001,-17.9807,-178.0855,582.37,30,5.697783672583981,1.88300804995211,0.8273334800272751,0.020824375094244
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1828292,2004-06-13T19:28:11,5.7,3.82e+18,0.7,-17.891,-178.57,580.1,24,3.7154790191812004,0.8119203201159929,0.43803495568595,0.01480562430615
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1327033,2002-06-16T06:55:13,5.9,3.82e+18,0.5,-17.866,-178.696,569.0,21,6.89062986819937,1.39631562828594,0.653774899840235,0.018163636979999
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1296178,2002-05-04T07:00:48,5.8,3.82e+18,0.600000000000001,-17.898,-178.737,559.9,13,3.4085138765638705,0.593579365717476,0.39335748608529203,0.017727470457695002
2841270,2009-11-22T07:48:21,6.4,-17.794,-178.425,522.6,1179413,2001-05-23T15:35:22,5.6,3.82e+18,0.800000000000001,-17.708,-178.703,567.2,10,4.65518795162074,0.468839442965057,0.270090572502083,0.008414189739801998
2728435,2008-04-18T20:39:07,6.3,-17.342,-179.02200000000002,553.8,1179413,2001-05-23T15:35:22,5.6,3.71e+18,0.7,-17.708,-178.703,567.2,10,3.54618014232266,0.385957809974893,0.262549025940394,0.013980773646221
2647592,2008-02-01T12:10:08,6.0,-21.495,-179.352,604.2,2877771,2010-08-06T05:03:59,5.5,1.27e+18,0.5,-21.763,-179.451,595.3,4,2.1708715194745203,2.7674565811150096,0.7347501195048142,0.030890704275502005
2704829,2008-01-15T17:52:16,6.5,-21.984,-179.535,597.6,2877771,2010-08-06T05:03:59,5.5,7.31e+18,1.0,-21.763,-179.451,595.3,5,6.16383318060814,3.99999999999623,0.900108026220848,0.022317763529531
2704829,2008-01-15T17:52:16,6.5,-21.984,-179.535,597.6,1864207,2004-12-17T07:13:09,5.8,7.31e+18,0.7,-21.901,-179.301,593.3,11,5.97528364634497,1.95398605138305,0.8614823854956428,0.060047617356476
2704829,2008-01-15T17:52:16,6.5,-21.984,-179.535,597.6,1660428,2003-08-28T20:39:45,5.5,7.31e+18,1.0,-21.983,-179.584,602.0,4,6.349647666993969,0.39216416655114295,0.20504441232386203,0.009938514032443
2425804,2007-05-06T22:01:09,6.1,-19.406,-179.315,688.0,2426242,2007-05-07T00:24:46,5.6,1.48e+18,0.5,-19.250999999999998,-179.362,682.2,80,9.641789663400141,0.144390001211634,0.051690761593861996,0.0016943343684079999
2429309,2007-01-08T20:52:21,6.3,-18.58,-177.847,406.8,10452239,2017-11-05T01:35:28,5.5,3.18e+18,0.8,-18.6496,-177.7449,482.88,9,24.6516497213726,0.377480484474568,0.180903336998493,0.006191254133154
2210432,2006-06-09T05:58:28,6.1,-17.531,-178.747,564.4,1179413,2001-05-23T15:35:22,5.6,1.79e+18,0.5,-17.708,-178.703,567.2,10,5.686433156920941,0.079604919571405,0.044796757117238,0.0026083387570539998
2210432,2006-06-09T05:58:28,6.1,-17.531,-178.747,564.4,1150182,2000-08-27T04:22:20,5.5,1.79e+18,0.6,-17.517,-179.06400000000002,548.9,4,27.442837108708,0.08836158214554599,0.025000000000165,1.4432783304968702e-12
2186449,2006-06-02T07:31:36,6.0,-20.837,-178.701,591.6,2019856,2005-12-01T03:08:39,5.5,1.21e+18,0.5,-21.021,-179.105,644.7,7,9.063757949881289,0.15158065894326,0.061991756766569,0.0024537958222109997
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,10974966,2018-11-27T02:45:32,5.7,1.48e+19,1.0,-17.8924,-178.571,574.21,10,6.55427098964421,0.5293023971608621,0.355899037097622,0.020692052387386
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,2372840,2006-07-23T20:50:52,5.8,1.48e+19,0.9,-17.93,-178.608,587.0,132,4.19589146070377,0.495933681793892,0.28271603369926196,0.007766787144233001
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,2210432,2006-06-09T05:58:28,6.1,1.48e+19,0.600000000000001,-17.531,-178.747,564.4,73,3.96829368548342,0.438341672453429,0.267616638489744,0.0076872635396990005
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,1547900,2003-05-19T10:43:21,6.0,1.48e+19,0.7,-18.044,-178.67,563.8,42,2.7989080643064397,0.545941489004298,0.39308517553454103,0.017808161078937
2186707,2006-02-02T12:48:43,6.7,-17.747,-178.39,597.5,1327033,2002-06-16T06:55:13,5.9,1.48e+19,0.8,-17.866,-178.696,569.0,54,3.71967185746342,0.6884474404238551,0.382574154635178,0.007181314816810001
2188466,2006-01-02T22:13:40,7.2,-19.926,-178.178,582.9,2619813,2007-08-23T11:34:25,5.7,6.94e+19,1.5,-19.925,-177.718,553.8,23,64.2586890984563,3.99999999999588,0.45282563790643,0.014982938010311002
2115376,2005-03-30T17:41:55,6.1,-22.459,-179.75400000000002,588.7,2870312,2009-06-08T04:33:18,5.5,1.99e+18,0.6,-22.234,-179.613,612.2,26,28.8159073463158,0.245358694558809,0.05851667007847,0.0023048967823439998
2115376,2005-03-30T17:41:55,6.1,-22.459,-179.75400000000002,588.7,2870291,2009-06-07T12:46:29,5.5,1.99e+18,0.6,-22.037,-179.583,590.0,31,39.3294481452934,0.237582129198608,0.050695896555291,0.0021961392454159998
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,10453182,2017-11-08T07:35:11,5.7,3.45e+18,0.6,-21.8761,-179.3832,593.71,26,13.767498841443699,2.69106494201666,0.928691580712758,0.058631935060671
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,2870312,2009-06-08T04:33:18,5.5,3.45e+18,0.8,-22.234,-179.613,612.2,30,3.98370900248466,0.12329158296024799,0.068371152171979,0.0027359382430059997
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,1660428,2003-08-28T20:39:45,5.5,3.45e+18,0.8,-21.983,-179.584,602.0,4,3.48502456975852,0.40289147437020706,0.223964004433489,0.017831738299054
2009482,2005-03-19T17:34:45,6.3,-21.893,-179.547,598.7,1125195,2001-06-14T12:27:03,5.7,3.45e+18,0.6,-22.053,-179.46099999999998,604.0,6,10.586640897874801,0.380106090026081,0.10545988166324699,0.006215806949789
1660728,2003-10-15T02:19:41,6.0,-17.822,-178.704,582.6,10955349,2018-10-04T04:16:21,5.5,9.92e+17,0.5,-17.8372,-178.5215,590.03,5,24.9768376605159,0.85103779099683,0.14075297074937398,0.0037392984876509993
1660728,2003-10-15T02:19:41,6.0,-17.822,-178.704,582.6,4810015,2014-09-30T22:34:28,5.5,9.92e+17,0.5,-17.8303,-178.5952,572.19,4,2.6796638976572402,0.07143739785318201,0.025028651842448995,0.000216365394102
1660728,2003-10-15T02:19:41,6.0,-17.822,-178.704,582.6,2211042,2006-06-09T10:40:41,5.5,9.92e+17,0.5,-17.98,-178.503,575.9,17,4.2783561335774305,0.35440166198886797,0.184243615905342,0.00717748894388
