masterID,masterTime,mastermag,masterlat,masterlon,masterdep,egfID,egfTime,egfmag,M0,magdif,egflat,egflon,egfdep,P_rg,P_rg_fit,P_rg_fc_std,P_rg_fc_mean
2704829,2008-01-15T17:52:16,6.5,-22.05,-179.34,603.3,5174891,2016-02-20T15:51:22,5.8,6.23734835482422e+18,0.7,-22.01,-179.4,593.0,29,[20.94270455  0.3954291   0.24493166],0.04424523332734845,0.2155944097529517
2186707,2006-02-02T12:48:43,6.7,-17.77,-178.13,611.6,932438,2000-09-02T10:19:10,5.7,1.24451461177138e+19,1.0,-17.82,-178.3,620.9,3,[13.40350923  0.17859922  0.12553736],0.0036543453366437158,0.1256696018587051
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,10641454,2018-02-09T11:43:56,6.0,4.95450190804791e+19,1.1,-17.8,-178.54,571.3,7,[25.35118556  0.16111942  0.10408107],0.006369629807237229,0.10867699293195819
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,10452819,2017-11-07T09:01:39,5.8,4.95450190804791e+19,1.3,-17.58,-178.53,570.5,6,[66.22158637  0.18923959  0.08282862],0.0026189787201009447,0.08386576337325906
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,2841270,2009-11-22T07:48:21,6.3,4.95450190804791e+19,0.8,-17.72,-178.36,546.4,17,[13.47708096  0.18013945  0.11651742],0.0030119037429053386,0.11674734463540157
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,2865073,2009-01-27T06:29:12,5.9,4.95450190804791e+19,1.2,-17.81,-178.51,612.7,5,[58.27624924  0.29863124  0.13115146],0.008326107554276247,0.12523792988761243
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,2865034,2009-01-26T11:54:40,5.8,4.95450190804791e+19,1.3,-17.83,-178.55,616.5,5,[49.79154986  0.32158353  0.15480151],0.14603495452520127,0.23632268458936767
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,1660728,2003-10-15T02:19:41,5.9,4.95450190804791e+19,1.2,-17.84,-178.59,594.9,17,[1.70771234e+02 3.40194628e-01 1.00362360e-01],0.0027214891084548216,0.10017699145478122
1833055,2004-07-15T04:27:13,7.1,-17.68,-178.52,577.2,1327033,2002-06-16T06:55:13,5.9,4.95450190804791e+19,1.2,-17.65,-178.5,588.1,18,[27.21637494  0.26461806  0.13483688],0.00981988880118646,0.1415860023190753
1388755,2002-08-19T11:01:02,7.6,-21.74,-179.08,630.9,1864207,2004-12-17T07:13:09,5.8,2.78612116862977e+20,1.8,-21.92,-179.15,607.4,6,[2.04553392e+02 2.36093735e-01 8.66077983e-02],0.006368115047980718,0.08477721056949236
1097023,2001-09-12T08:48:37,6.4,-20.84,-178.9,634.1,1235408,2001-10-22T06:46:46,5.5,4.41570447353312e+18,0.9,-20.94,-179.04,639.3,5,[9.96952358 0.29501622 0.13287505],0.0036596546543681704,0.1336017991517403
