Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1991_096_14_34_19  1991   4     6    14    34   19.90   1.1110e+26  6.6 5.8  -15.031 -175.453  16.0   0.1315    5.7480e+00    1.6240e-01    5
Event_1991_112_21_56_51  1991   4    22    21    56   51.90   3.3100e+27  7.6 6.6    9.673  -83.072  12.9   0.0150    2.5420e-01    1.6820e-01   12
Event_1991_119_09_12_47  1991   4    29     9    12   47.20   3.3400e+26  6.9 6.2   42.426   43.667  17.0   0.0900    5.5400e+00    4.7440e-02    8
Event_1991_124_03_42_54  1991   5     4     3    42   54.90   2.1100e+25  6.1 5.6    9.547  -82.440   6.9   0.1050    5.5580e-01    1.3350e-01    4
Event_1991_127_13_09_28  1991   5     7    13     9   28.50   1.1200e+25  6.0 6.4   39.472  144.696  16.0   0.3260    8.8290e+00    1.0700e-01    5
Event_1991_133_16_28_13  1991   5    13    16    28   13.70   1.0190e+25  5.9 5.8   -3.474   82.752  22.0   0.3470    9.6870e+00    1.9140e-01    3
Event_1991_137_02_31_24  1991   5    17     2    31   24.80   3.8000e+25  6.3 5.9   -4.360  142.742  59.0   0.2740    1.7790e+01    1.0670e-01    4
Event_1991_139_00_58_02  1991   5    19     0    58    2.10   2.4800e+26  6.9 5.9    1.163  122.939  20.1   0.0415    4.0330e-01    1.2150e-01    6
Event_1991_141_11_00_21  1991   5    21    11     0   21.00   8.7000e+25  6.6 6.2   -7.536  126.507  18.0   0.0950    1.6970e+00    1.8720e-01    5
Event_1991_150_13_17_44  1991   5    30    13    17   44.10   3.0700e+26  6.9 6.2   54.517 -161.710  28.0   0.0730    2.7170e+00    9.1240e-02   13
Event_1991_151_05_28_02  1991   5    31     5    28    2.70   6.6400e+24  5.8 6.0   -6.059  130.663  87.8   0.5575    2.6180e+01    6.7670e-02    3
Event_1991_161_17_35_49  1991   6    10    17    35   49.40   3.3000e+25  6.3 6.2   23.736  -45.370  10.0   0.1730    3.8880e+00    1.2990e-01    9
Event_1991_166_23_02_09  1991   6    15    23     2    9.90   1.5600e+25  6.1 6.0   10.119  125.892  55.0   0.1870    2.3210e+00    1.6440e-01    8
Event_1991_171_05_18_52  1991   6    20     5    18   52.50   2.3100e+27  7.5 6.2    1.206  122.772  31.0   0.0110    6.9960e-02    1.6920e-01    9
Event_1991_173_00_30_26  1991   6    22     0    30   26.80   1.9900e+25  6.1 5.5   23.774 -108.556  11.6   0.3155    1.4220e+01    1.1630e-01    4
Event_1991_185_11_43_11  1991   7     4    11    43   11.10   1.4800e+26  6.7 6.2   -8.146  124.587  29.0   0.0780    1.5980e+00    1.3830e-01    8
Event_1991_190_06_53_37  1991   7     9     6    53   37.30   6.1100e+24  5.8 5.5   23.217  -65.569   9.9   1.9450    1.0230e+03    1.2630e-01    3
Event_1991_194_12_15_13  1991   7    13    12    15   13.20   1.9800e+25  6.1 5.7   48.810  154.878  38.1   0.1490    1.4900e+00    9.7520e-02   12
Event_1991_201_11_48_47  1991   7    20    11    48   47.40   8.2500e+24  5.9 5.7   54.544 -161.682  36.6   0.2630    3.4150e+00    1.3130e-01    5
Event_1991_217_06_05_47  1991   8     5     6     5   47.00   1.2920e+25  6.0 5.7  -21.327 -174.337  32.5   0.2255    3.3710e+00    1.1000e-01    3
Event_1991_218_02_17_32  1991   8     6     2    17   32.50   3.6700e+24  5.6 6.0    3.854   95.332  18.0   0.4175    6.0770e+00    6.3370e-02    8
Event_1991_218_14_49_31  1991   8     6    14    49   31.30   7.5600e+24  5.9 5.8   35.809  141.110  29.0   0.3520    7.5020e+00    9.1570e-02    6
Event_1991_220_02_09_47  1991   8     8     2     9   47.60   9.4400e+25  6.6 5.8    1.042  122.576  12.6   0.0635    5.5000e-01    8.1850e-02    6
Event_1991_229_19_29_40  1991   8    17    19    29   40.00   1.9000e+25  6.1 6.1   40.250 -124.117  12.0   0.0940    3.5910e-01    1.6930e-01    9
Event_1991_246_09_05_28  1991   9     3     9     5   28.70   3.7200e+25  6.3 6.2  -17.918 -116.021   9.0   0.1725    4.3450e+00    1.3390e-01    6
Event_1991_246_11_56_16  1991   9     3    11    56   16.40   3.2400e+25  6.3 5.8  -17.950 -116.047  11.0   0.1225    1.3550e+00    1.0950e-01    9
Event_1991_264_15_19_50  1991   9    21    15    19   50.60   1.5500e+25  6.1 5.9  -16.224 -172.917  17.0   0.2590    6.1270e+00    1.2690e-01    4
Event_1991_271_20_26_56  1991   9    28    20    26   56.80   8.2000e+25  6.5 5.8   -5.768  151.045  28.0   0.0360    8.7050e-02    1.4000e-01    6
Event_1991_285_16_26_25  1991  10    12    16    26   25.70   2.3000e+25  6.2 5.9  -13.701  166.753  44.0   0.3475    2.1960e+01    1.4570e-01    3
Event_1991_287_15_58_14  1991  10    14    15    58   14.40   7.8500e+26  7.2 6.2   -9.039  158.519  23.0   0.0310    5.3210e-01    1.2320e-01    9
Event_1991_290_09_05_19  1991  10    17     9     5   19.30   1.2800e+25  6.0 5.7  -15.293 -173.482  36.0   0.1690    1.4060e+00    7.9300e-02    5
